Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XLC,XLRE
08/18/2021,82.93998718,45.41757965,37.25238419,102.022583,151.4358215,70.80491638,67.29096222,133.3270569,176.260376,81.49471283,45.47932434
08/19/2021,82.19979858,44.23890686,36.97599792,101.309967,152.9176331,71.37481689,67.56485748,133.9306946,175.1354675,81.50463104,45.86166763
08/20/2021,82.68339539,44.3355217,37.20302582,101.5771942,154.886795,71.49272919,68.40611267,134.6926727,176.8178558,82.21018219,46.07735062
08/23/2021,83.39396667,45.99725723,37.50902557,102.408577,156.8857727,71.26672363,67.52572632,134.7421722,179.0975037,83.2039032,45.90088272
08/24/2021,83.91703033,46.76050186,37.73604965,102.9232407,156.7067719,70.72631836,67.08553314,134.2671509,180.3617706,83.47219849,45.55775452
08/25/2021,84.30191803,47.11796188,38.18024063,103.58638,156.6172485,70.60840607,67.21269989,133.901001,181.058609,83.60137939,45.50873566
08/26/2021,83.71965027,46.4030304,37.99269867,103.1310806,155.6326904,70.28414917,67.04640198,133.3765259,179.3861847,82.87597656,45.53814697
08/27/2021,84.82498932,47.63967133,38.49610138,103.8436966,157.1344147,70.52979279,67.02684021,133.2281036,181.0187836,84.18768311,45.91069031
08/30/2021,84.73616028,47.07931519,37.95320892,103.7249374,158.8250885,70.84422302,67.12467194,133.9801788,182.3826141,84.76403809,46.4695015
08/31/2021,84.48943329,46.76050186,37.90385437,103.4379044,157.9897003,71.00144196,67.04640198,133.8020477,182.8206177,85.08202362,46.7440033
09/01/2021,84.27230835,46.074543,37.68669891,103.0420074,158.02948,71.37481689,67.92679596,133.841629,182.8106689,85.50932312,47.54790115
09/02/2021,84.81511688,47.24356079,37.8150177,104.150528,157.8603973,71.64994049,68.5430603,135.2765503,182.8007202,84.93296814,47.77338791
09/03/2021,84.25257874,46.97304153,37.57811737,103.5170822,158.4869537,71.56150818,67.97570801,135.4249878,182.6912079,84.93296814,47.77338791
09/07/2021,83.6999054,46.69287109,37.35109329,101.7256546,158.5267334,70.73613739,67.07575226,134.633316,183.2287598,85.13169861,47.24398804
09/08/2021,82.90050507,46.09386826,37.26225281,101.8642197,157.9200745,71.34533691,68.27894592,134.5739441,183.4378204,84.69447327,47.52829361
09/09/2021,82.93011475,46.19047928,37.37083054,101.3693466,157.3233795,70.93264771,67.90722656,133.0202789,183.1988831,84.27711487,46.51851654
09/10/2021,82.91038513,46.17116165,37.0944519,100.9140701,155.7719269,70.62805176,66.95836639,131.8030853,182.0740051,83.73056793,45.93029404
09/13/2021,82.89063263,47.49475098,37.51889038,101.1813049,155.82164,70.80491638,66.84098816,130.9916229,182.5219879,83.93925476,46.18519211
09/14/2021,81.98268127,46.80880737,37.01548386,99.96390533,155.6227417,70.48066711,66.61599731,130.9718475,181.9147339,83.21383667,46.08715439
09/15/2021,82.85116577,48.55748749,37.37083054,101.0625305,156.9852448,70.73613739,66.5279541,131.8228912,183.0894012,83.62126923,46.26361847
